contest_id	in_contest_id	name	type	points	rating	tags
1119	E	Pavel and Triangles	PROGRAMMING	2500.0	1900	brute force/dp/fft/greedy/ternary search
1103	E	Radix sum	PROGRAMMING	3500.0	3400	fft/math/number theory
1096	G	Lucky Tickets	PROGRAMMING	-1	2400	divide and conquer/dp/fft
1054	H	Epic Convolution	PROGRAMMING	4000.0	3500	chinese remainder theorem/fft/math/number theory
1033	F	Boolean Computer	PROGRAMMING	3250.0	2800	bitmasks/brute force/fft/math
1036	E	Covered Points	PROGRAMMING	-1	2400	fft/geometry/number theory
1010	F	Tree	PROGRAMMING	2750.0	3400	fft/graphs/trees
993	E	Nikita and Order Statistics	PROGRAMMING	2250.0	2300	chinese remainder theorem/fft/math
986	D	Perfect Encoding	PROGRAMMING	2500.0	3100	fft/math
981	H	K Paths	PROGRAMMING	3750.0	3100	combinatorics/data structures/dp/fft/math
958	F3	Lightsabers (hard)	PROGRAMMING	-1	2600	fft
960	G	Bandit Blues	PROGRAMMING	3000.0	2900	combinatorics/dp/fft/math
954	I	Yet Another String Matching Problem	PROGRAMMING	-1	2200	fft/math
923	E	Perpetual Subtraction	PROGRAMMING	2250.0	3100	fft/math/matrices
914	G	Sum the Fibonacci	PROGRAMMING	3500.0	2600	bitmasks/divide and conquer/dp/fft/math
901	E	Cyclic Cipher	PROGRAMMING	2500.0	3300	fft/math
850	E	Random Elections	PROGRAMMING	2000.0	2800	bitmasks/brute force/divide and conquer/fft/math
848	E	Days of Floral Colours	PROGRAMMING	2500.0	3400	combinatorics/divide and conquer/dp/fft/math
827	E	Rusty String	PROGRAMMING	1750.0	2700	fft/math/strings
773	F	Test Data Generation	PROGRAMMING	3500.0	3400	combinatorics/divide and conquer/dp/fft/math/number theory
755	G	PolandBall and Many Other Balls	PROGRAMMING	3500.0	3200	combinatorics/divide and conquer/dp/fft/math/number theory
754	E	Dasha and cyclic table	PROGRAMMING	2500.0	2600	bitmasks/brute force/fft/strings/trees
715	E	Complete the Permutations	PROGRAMMING	2750.0	3400	combinatorics/fft/graphs/math
662	C	Binary Table	PROGRAMMING	2250.0	2600	bitmasks/brute force/divide and conquer/dp/fft/math
632	E	Thief in a Shop	PROGRAMMING	-1	2400	divide and conquer/dp/fft/math
623	E	Transforming Sequence	PROGRAMMING	2250.0	3300	combinatorics/dp/fft/math
553	E	Kyoya and Train	PROGRAMMING	3000.0	3200	dp/fft/graphs/math/probabilities
528	D	Fuzzy Search	PROGRAMMING	2000.0	2500	bitmasks/brute force/fft
472	G	Design Tutorial: Increase the Constraints	PROGRAMMING	3500.0	2800	bitmasks/data structures/fft
438	E	The Child and Binary Tree	PROGRAMMING	3000.0	3100	combinatorics/divide and conquer/fft/number theory
300	D	Painting Square	PROGRAMMING	3000.0	2300	dp/fft
286	E	Ladies' Shop	PROGRAMMING	2500.0	2800	constructive algorithms/fft/math
1454	F	Array Partition	PROGRAMMING	-1	2100	binary search/data structures/greedy/two pointers
1452	E	Two Editorials	PROGRAMMING	-1	2500	brute force/dp/greedy/sortings/two pointers
1446	D2	Frequency Problem (Hard Version)	PROGRAMMING	750.0	3000	data structures/greedy/two pointers
1431	H	Rogue-like Game	PROGRAMMING	-1	2600	*special/brute force/greedy/two pointers
1431	B	Polycarp and the Language of Gods	PROGRAMMING	-1	1400	*special/implementation/two pointers
1438	E	Yurii Can Do Everything	PROGRAMMING	2250.0	2500	binary search/bitmasks/brute force/constructive algorithms/divide and conquer/two pointers
1443	E	Long Permutation	PROGRAMMING	2500.0	2400	brute force/math/two pointers
1437	F	Emotional Fishermen	PROGRAMMING	-1	2600	combinatorics/dp/math/two pointers
1413	C	Perform Easily	PROGRAMMING	1500.0	1900	binary search/brute force/dp/implementation/sortings/two pointers
1436	E	Complicated Computations	PROGRAMMING	2500.0	2400	binary search/data structures/two pointers
1428	F	Fruit Sequences	PROGRAMMING	1750.0	2400	binary search/data structures/divide and conquer/dp/two pointers
1430	D	String Deletion	PROGRAMMING	-1	1700	binary search/data structures/greedy/two pointers
1423	K	Lonely Numbers	PROGRAMMING	-1	1600	binary search/math/number theory/two pointers
1408	D	Searchlights	PROGRAMMING	2000.0	2000	binary search/brute force/data structures/dp/implementation/sortings/two pointers
1408	C	Discrete Acceleration	PROGRAMMING	1250.0	1500	binary search/dp/implementation/math/two pointers
1416	A	k-Amazing Numbers	PROGRAMMING	500.0	1500	binary search/data structures/implementation/two pointers
1419	D2	Sage's Birthday (hard version)	PROGRAMMING	1000.0	1500	binary search/brute force/constructive algorithms/greedy/sortings/two pointers
1418	G	Three Occurrences	PROGRAMMING	-1	2500	data structures/divide and conquer/hashing/two pointers
1418	F	Equal Product	PROGRAMMING	-1	3000	data structures/math/number theory/two pointers
1407	C	Chocolate Bunny	PROGRAMMING	1500.0	1600	constructive algorithms/interactive/math/two pointers
1404	C	Fixed Point Removal	PROGRAMMING	1500.0	2300	binary search/constructive algorithms/data structures/greedy/two pointers
1409	E	Two Platforms	PROGRAMMING	-1	1800	binary search/dp/sortings/two pointers
1396	D	Rainbow Rectangles	PROGRAMMING	2250.0	3300	data structures/sortings/two pointers
1403	A	The Potion of Great Power	PROGRAMMING	-1	2400	*special/2-sat/binary search/data structures/graphs/interactive/sortings/two pointers
1400	G	Mercenaries	PROGRAMMING	-1	2600	bitmasks/brute force/combinatorics/dp/dsu/math/two pointers
1400	D	Zigzags	PROGRAMMING	-1	1900	brute force/combinatorics/data structures/math/two pointers
1398	F	Controversial Rounds	PROGRAMMING	-1	2500	binary search/data structures/dp/greedy/two pointers
1394	A	Boboniu Chats with Du	PROGRAMMING	500.0	1800	dp/greedy/sortings/two pointers
1393	E2	Twilight and Ancient Scroll (harder version)	PROGRAMMING	1500.0	3200	dp/hashing/implementation/string suffix structures/strings/two pointers
1399	E2	Weights Division (hard version)	PROGRAMMING	-1	2200	binary search/dfs and similar/greedy/sortings/trees/two pointers
1399	C	Boats Competition	PROGRAMMING	-1	1200	brute force/greedy/two pointers
1389	C	Good String	PROGRAMMING	-1	1500	brute force/dp/greedy/two pointers
1383	A	String Transformation 1	PROGRAMMING	1000.0	1700	dsu/graphs/greedy/sortings/strings/trees/two pointers
1379	D	New Passenger Trams	PROGRAMMING	1500.0	2300	binary search/brute force/data structures/sortings/two pointers
1379	C	Choosing flowers	PROGRAMMING	1250.0	2000	binary search/brute force/data structures/dfs and similar/dp/greedy/sortings/two pointers
1381	D	The Majestic Brown Tree Snake	PROGRAMMING	2500.0	3000	dfs and similar/dp/greedy/trees/two pointers
1381	C	Mastermind	PROGRAMMING	2000.0	2500	constructive algorithms/graph matchings/greedy/implementation/sortings/two pointers
1381	A2	Prefix Flip (Hard Version)	PROGRAMMING	500.0	1700	constructive algorithms/data structures/implementation/strings/two pointers
1380	D	Berserk And Fireball	PROGRAMMING	-1	2000	constructive algorithms/greedy/implementation/math/two pointers
1372	E	Omkar and Last Floor	PROGRAMMING	2500.0	2900	dp/greedy/two pointers
1374	E2	Reading Books (hard version)	PROGRAMMING	-1	2500	data structures/greedy/implementation/sortings/ternary search/two pointers
1374	D	Zero Remainder Array	PROGRAMMING	-1	1400	math/sortings/two pointers
1369	C	RationalLee	PROGRAMMING	1500.0	1400	greedy/math/sortings/two pointers
1367	F2	Flying Sort (Hard Version)	PROGRAMMING	-1	2400	binary search/data structures/dp/greedy/sortings/two pointers
1367	F1	Flying Sort (Easy Version)	PROGRAMMING	-1	2100	dp/greedy/two pointers
1364	A	XXXXX	PROGRAMMING	750.0	1200	brute force/data structures/number theory/two pointers
1364	B	Most socially-distanced subsequence	PROGRAMMING	1000.0	1300	greedy/two pointers
1366	E	Two Arrays	PROGRAMMING	-1	2100	binary search/brute force/combinatorics/constructive algorithms/dp/two pointers
1366	B	Shuffle	PROGRAMMING	-1	1300	math/two pointers
1359	D	Yet Another Yet Another Task	PROGRAMMING	-1	2000	data structures/dp/implementation/two pointers
1359	B	New Theatre Square	PROGRAMMING	-1	1000	brute force/dp/greedy/implementation/two pointers
1358	D	The Best Vacation	PROGRAMMING	1500.0	1900	binary search/brute force/greedy/implementation/two pointers
1354	B	Ternary String	PROGRAMMING	-1	1200	binary search/dp/implementation/two pointers
1355	C	Count Triangles	PROGRAMMING	1250.0	1800	binary search/implementation/math/two pointers
1352	E	Special Elements	PROGRAMMING	-1	1500	brute force/implementation/two pointers
1342	D	Multiple Testcases	PROGRAMMING	-1	1900	binary search/constructive algorithms/data structures/greedy/sortings/two pointers
1343	D	Constant Palindrome Sum	PROGRAMMING	-1	1700	brute force/data structures/greedy/two pointers
1343	C	Alternating Subsequence	PROGRAMMING	-1	1200	dp/greedy/two pointers
1336	B	Xenia and Colorful Gems	PROGRAMMING	750.0	1700	binary search/greedy/math/sortings/two pointers
1335	E2	Three Blocks Palindrome (hard version)	PROGRAMMING	-1	1800	brute force/data structures/dp/two pointers
1335	E1	Three Blocks Palindrome (easy version)	PROGRAMMING	-1	1700	binary search/brute force/data structures/dp/two pointers
1333	F	Kate and imperfection	PROGRAMMING	2500.0	2200	greedy/implementation/math/number theory/sortings/two pointers
1333	C	Eugene and an array	PROGRAMMING	1250.0	1700	binary search/data structures/implementation/two pointers
1327	F	AND Segments	PROGRAMMING	-1	2500	bitmasks/combinatorics/data structures/dp/two pointers
1326	E	Bombs	PROGRAMMING	2500.0	2400	data structures/two pointers
1324	D	Pair of Topics	PROGRAMMING	-1	1400	binary search/data structures/sortings/two pointers
1312	F	Attack on Red Kingdom	PROGRAMMING	-1	2500	games/two pointers
1305	B	Kuroni and Simple Strings	PROGRAMMING	1000.0	1200	constructive algorithms/greedy/strings/two pointers
1313	E	Concatenation with intersection	PROGRAMMING	2500.0	2700	data structures/hashing/strings/two pointers
1304	D	Shortest and Longest LIS	PROGRAMMING	1750.0	1800	constructive algorithms/graphs/greedy/two pointers
1304	C	Air Conditioner	PROGRAMMING	1500.0	1500	dp/greedy/implementation/sortings/two pointers
1290	B	Irreducible Anagrams	PROGRAMMING	1000.0	1800	binary search/constructive algorithms/data structures/strings/two pointers
1285	E	Delete a Segment	PROGRAMMING	2250.0	2300	brute force/constructive algorithms/data structures/dp/graphs/sortings/trees/two pointers
1282	C	Petya and Exam	PROGRAMMING	1750.0	1800	greedy/sortings/two pointers
1266	D	Decreasing Debts	PROGRAMMING	1750.0	2000	constructive algorithms/data structures/graphs/greedy/implementation/math/two pointers
1272	F	Two Bracket Sequences	PROGRAMMING	-1	2200	dp/strings/two pointers
1265	B	Beautiful Numbers	PROGRAMMING	1000.0	1300	data structures/implementation/math/two pointers
1254	B2	Send Boxes to Alice (Hard Version)	PROGRAMMING	750.0	2100	constructive algorithms/greedy/math/number theory/ternary search/two pointers
1254	B1	Send Boxes to Alice (Easy Version)	PROGRAMMING	500.0	1800	constructive algorithms/greedy/math/number theory/ternary search/two pointers
1257	D	Yet Another Monster Killing Problem	PROGRAMMING	-1	1700	binary search/data structures/dp/greedy/sortings/two pointers
1257	C	Dominated Subarray	PROGRAMMING	-1	1200	greedy/implementation/sortings/strings/two pointers
1250	G	Discarding Game	PROGRAMMING	-1	2300	dp/greedy/two pointers
1225	B2	TV Subscriptions (Hard Version)	PROGRAMMING	750.0	1300	implementation/two pointers
1251	C	Minimize The Integer	PROGRAMMING	-1	1600	greedy/two pointers
1251	A	Broken Keyboard	PROGRAMMING	-1	1000	brute force/strings/two pointers
1252	E	Songwriter	PROGRAMMING	-1	2200	greedy/two pointers
1237	B	Balanced Tunnel	PROGRAMMING	750.0	1300	data structures/sortings/two pointers
1244	E	Minimizing Difference	PROGRAMMING	2500.0	2000	binary search/constructive algorithms/greedy/sortings/ternary search/two pointers
1223	D	Sequence Sorting	PROGRAMMING	2000.0	2000	dp/greedy/two pointers
1209	G1	Into Blocks (easy version)	PROGRAMMING	1500.0	2000	data structures/dsu/greedy/implementation/two pointers
1208	B	Uniqueness	PROGRAMMING	1000.0	1500	binary search/brute force/implementation/two pointers
1203	D2	Remove the Substring (hard version)	PROGRAMMING	-1	1700	binary search/greedy/implementation/two pointers
1200	D	White Lines	PROGRAMMING	2000.0	1900	brute force/data structures/dp/implementation/two pointers
1198	A	MP3	PROGRAMMING	500.0	1600	sortings/two pointers
1196	D2	RGB Substring (hard version)	PROGRAMMING	-1	1600	data structures/dp/implementation/two pointers
1195	E	OpenStreetMap	PROGRAMMING	3000.0	2100	data structures/two pointers
1194	F	Crossword Expert	PROGRAMMING	-1	2400	combinatorics/dp/number theory/probabilities/two pointers
1190	D	Tokitsukaze and Strange Rectangle	PROGRAMMING	1500.0	2000	data structures/divide and conquer/sortings/two pointers
1190	A	Tokitsukaze and Discard Items	PROGRAMMING	500.0	1400	implementation/two pointers
1188	B	Count Pairs	PROGRAMMING	1250.0	2300	math/matrices/number theory/two pointers
1181	D	Irrigation	PROGRAMMING	1750.0	2200	binary search/data structures/implementation/sortings/trees/two pointers
1175	G	Yet Another Partiton Problem	PROGRAMMING	-1	3000	data structures/divide and conquer/dp/geometry/two pointers
1148	E	Earth Wind and Fire	PROGRAMMING	2250.0	2300	constructive algorithms/greedy/math/sortings/two pointers
1148	B	Born This Way	PROGRAMMING	1250.0	1600	binary search/brute force/two pointers
1168	B	Good Triple	PROGRAMMING	1000.0	1900	brute force/two pointers
1166	C	A Tale of Two Lands	PROGRAMMING	1500.0	1500	binary search/sortings/two pointers
1167	E	Range Deleting	PROGRAMMING	-1	2100	binary search/combinatorics/data structures/two pointers
1158	A	The Party and Sweets	PROGRAMMING	500.0	1500	binary search/constructive algorithms/greedy/implementation/math/sortings/two pointers
1156	E	Special Segments of Permutation	PROGRAMMING	-1	2200	data structures/divide and conquer/dsu/two pointers
1156	C	Match Points	PROGRAMMING	-1	2000	binary search/greedy/sortings/ternary search/two pointers
1157	F	Maximum Balanced Circle	PROGRAMMING	-1	2000	constructive algorithms/dp/greedy/two pointers
1133	E	K Balanced Teams	PROGRAMMING	-1	1800	dp/sortings/two pointers
1133	C	Balanced Team	PROGRAMMING	-1	1200	sortings/two pointers
1120	A	Diana and Liana	PROGRAMMING	500.0	1900	greedy/implementation/two pointers
1131	G	Most Dangerous Shark	PROGRAMMING	3500.0	2700	data structures/dp/two pointers
1107	C	Brutality	PROGRAMMING	-1	1300	greedy/sortings/two pointers
1044	A	The Tower is Going Home	PROGRAMMING	750.0	1700	binary search/two pointers
1043	D	Mysterious Crime	PROGRAMMING	2000.0	1700	brute force/combinatorics/math/meet-in-the-middle/two pointers
1073	C	Vasya and Robot	PROGRAMMING	-1	1800	binary search/two pointers
1066	B	Heaters	PROGRAMMING	-1	1500	greedy/two pointers
1060	C	Maximum Subrectangle	PROGRAMMING	1250.0	1600	binary search/implementation/two pointers
1034	D	Intervals of Intervals	PROGRAMMING	2000.0	3500	binary search/data structures/two pointers
1042	D	Petya and Array	PROGRAMMING	2000.0	1800	data structures/divide and conquer/two pointers
1041	D	Glider	PROGRAMMING	2000.0	1700	binary search/data structures/two pointers
1041	C	Coffee Break	PROGRAMMING	1500.0	1600	binary search/data structures/greedy/two pointers
1036	D	Vasya and Arrays	PROGRAMMING	-1	1600	greedy/two pointers
1006	C	Three Parts of the Array	PROGRAMMING	-1	1200	binary search/data structures/two pointers
1007	A	Reorder the Array	PROGRAMMING	500.0	1300	combinatorics/data structures/math/sortings/two pointers
989	D	A Shade of Moonlight	PROGRAMMING	2000.0	2500	binary search/geometry/math/sortings/two pointers
985	E	Pencils and Boxes	PROGRAMMING	-1	2100	binary search/data structures/dp/greedy/two pointers
978	C	Letters	PROGRAMMING	-1	1000	binary search/implementation/two pointers
965	D	Single-use Stones	PROGRAMMING	2000.0	1900	binary search/flows/greedy/two pointers
958	F2	Lightsabers (medium)	PROGRAMMING	-1	1800	binary search/two pointers
961	B	Lecture Sleep	PROGRAMMING	-1	1200	data structures/dp/implementation/two pointers
924	B	Three-level Laser	PROGRAMMING	1000.0	1600	binary search/greedy/two pointers
954	G	Castle Defense	PROGRAMMING	-1	2000	binary search/data structures/greedy/two pointers
939	E	Maximize!	PROGRAMMING	2500.0	1800	binary search/greedy/ternary search/two pointers
939	C	Convenient For Everybody	PROGRAMMING	1500.0	1600	binary search/two pointers
920	C	Swap Adjacent Elements	PROGRAMMING	-1	1400	dfs and similar/greedy/math/sortings/two pointers
912	E	Prime Gift	PROGRAMMING	2500.0	2400	binary search/dfs and similar/math/meet-in-the-middle/number theory/two pointers
901	C	Bipartite Segments	PROGRAMMING	1750.0	2300	binary search/data structures/dfs and similar/dsu/graphs/two pointers
899	E	Segments Removal	PROGRAMMING	2250.0	2000	data structures/dsu/flows/implementation/two pointers
895	B	XK Segments	PROGRAMMING	1000.0	1700	binary search/math/sortings/two pointers
892	B	Wrath	PROGRAMMING	1000.0	1200	greedy/implementation/two pointers
888	C	K-Dominant Character	PROGRAMMING	-1	1400	binary search/implementation/two pointers
887	D	Ratings and Reality Shows	PROGRAMMING	2000.0	2400	data structures/two pointers
875	B	Sorting the Coins	PROGRAMMING	1000.0	1500	dsu/implementation/sortings/two pointers
873	C	Strange Game On Matrix	PROGRAMMING	-1	1600	greedy/two pointers
853	B	Jury Meeting	PROGRAMMING	750.0	1800	greedy/sortings/two pointers
846	F	Random Query	PROGRAMMING	-1	1800	data structures/math/probabilities/two pointers
848	B	Rooter's Song	PROGRAMMING	1000.0	1900	constructive algorithms/data structures/geometry/implementation/sortings/two pointers
842	A	Kirill And The Game	PROGRAMMING	500.0	1200	brute force/two pointers
833	B	The Bakery	PROGRAMMING	1250.0	2200	binary search/data structures/divide and conquer/dp/two pointers
830	C	Bamboo Partition	PROGRAMMING	1500.0	2300	brute force/data structures/implementation/math/number theory/sortings/two pointers
818	E	Card Game Again	PROGRAMMING	-1	1900	binary search/data structures/number theory/two pointers
814	C	An impassioned circulation of affection	PROGRAMMING	1750.0	1600	brute force/dp/strings/two pointers
799	E	Aquarium decoration	PROGRAMMING	2500.0	2500	data structures/greedy/two pointers
774	B	Significant Cups	PROGRAMMING	-1	2100	*special/binary search/data structures/two pointers
788	A	Functions again	PROGRAMMING	500.0	1600	dp/two pointers
771	F	Bear and Isomorphic Points	PROGRAMMING	2500.0	3300	geometry/two pointers
780	H	Intranet of Buses	PROGRAMMING	3500.0	3100	binary search/geometry/implementation/two pointers
769	B	News About Credit	PROGRAMMING	1000.0	1200	*special/greedy/two pointers
777	C	Alyona and Spreadsheet	PROGRAMMING	1500.0	1600	binary search/data structures/dp/greedy/implementation/two pointers
767	D	Cartons of milk	PROGRAMMING	2000.0	2100	binary search/data structures/greedy/sortings/two pointers
762	C	Two strings	PROGRAMMING	-1	2100	binary search/hashing/strings/two pointers
762	B	USB vs. PS/2	PROGRAMMING	-1	1400	greedy/implementation/sortings/two pointers
748	E	Santa Claus and Tangerines	PROGRAMMING	2500.0	2100	binary search/data structures/greedy/two pointers
749	C	Voting	PROGRAMMING	1500.0	1500	greedy/implementation/two pointers
746	F	Music in Car	PROGRAMMING	3000.0	2200	data structures/greedy/two pointers
744	E	Hongcow Masters the Cyclic Shift	PROGRAMMING	2500.0	3200	strings/two pointers
734	C	Anton and Making Potions	PROGRAMMING	1250.0	1600	binary search/dp/greedy/two pointers
733	E	Sleep in Class	PROGRAMMING	2750.0	2400	constructive algorithms/data structures/math/two pointers
733	C	Epidemic in Monstropolis	PROGRAMMING	2000.0	1800	constructive algorithms/dp/greedy/two pointers
722	F	Cyclic Cipher	PROGRAMMING	2500.0	2800	chinese remainder theorem/data structures/implementation/number theory/two pointers
716	B	Complete the Word	PROGRAMMING	1000.0	1300	greedy/two pointers
702	C	Cellular Network	PROGRAMMING	-1	1500	binary search/implementation/two pointers
701	C	They Are Everywhere	PROGRAMMING	1000.0	1500	binary search/strings/two pointers
696	F	...Dary!	PROGRAMMING	3000.0	3300	binary search/geometry/two pointers
682	E	Alyona and Triangles	PROGRAMMING	3000.0	2600	geometry/two pointers
676	C	Vasya and String	PROGRAMMING	1500.0	1500	binary search/dp/strings/two pointers
665	F	Four Divisors	PROGRAMMING	-1	2400	data structures/dp/math/number theory/sortings/two pointers
660	C	Hard Process	PROGRAMMING	-1	1600	binary search/dp/two pointers
639	D	Bear and Contribution	PROGRAMMING	1500.0	2400	data structures/greedy/sortings/two pointers
652	C	Foe Pairs	PROGRAMMING	-1	1800	combinatorics/sortings/two pointers
645	C	Enduring Exodus	PROGRAMMING	1500.0	1600	binary search/two pointers
644	B	Processing Queries	PROGRAMMING	1000.0	1700	*special/constructive algorithms/data structures/two pointers
650	B	Image Preview	PROGRAMMING	1000.0	1900	binary search/brute force/dp/two pointers
627	E	Orchestra	PROGRAMMING	2500.0	3000	two pointers
633	E	Startup Funding	PROGRAMMING	2500.0	2400	binary search/constructive algorithms/data structures/probabilities/two pointers
618	F	Double Knapsack	PROGRAMMING	2750.0	3000	constructive algorithms/two pointers
620	D	Professor GukiZ and Two Arrays	PROGRAMMING	-1	2200	binary search/two pointers
613	B	Skills	PROGRAMMING	1250.0	1900	binary search/brute force/dp/greedy/sortings/two pointers
616	D	Longest k-Good Segment	PROGRAMMING	-1	1600	binary search/data structures/two pointers
611	G	New Year and Cake	PROGRAMMING	3000.0	2900	geometry/two pointers
610	D	Vika and Segments	PROGRAMMING	2500.0	2300	constructive algorithms/data structures/geometry/two pointers
609	D	Gadgets for dollars and pounds	PROGRAMMING	-1	2000	binary search/greedy/two pointers
600	B	Queries about less or equal elements	PROGRAMMING	-1	1300	binary search/data structures/sortings/two pointers
602	B	Approximating a Constant Range	PROGRAMMING	1000.0	1400	dp/implementation/two pointers
594	C	Edo and Magnets	PROGRAMMING	1500.0	2300	brute force/greedy/implementation/two pointers
592	E	BCPC	PROGRAMMING	3000.0	2700	binary search/geometry/two pointers
581	F	Zublicanes and Mumocrates	PROGRAMMING	3000.0	2400	dp/trees/two pointers
580	B	Kefa and Company	PROGRAMMING	1250.0	1500	binary search/sortings/two pointers
577	B	Modulo Sum	PROGRAMMING	1250.0	1900	combinatorics/data structures/dp/two pointers
533	E	Correcting Mistakes	PROGRAMMING	500.0	1800	constructive algorithms/dp/greedy/hashing/strings/two pointers
524	D	Social Network	PROGRAMMING	1250.0	2100	greedy/two pointers
519	D	A and B and Interesting Substrings	PROGRAMMING	2000.0	1800	data structures/dp/two pointers
516	D	Drazil and Morning Exercise	PROGRAMMING	3000.0	2800	dfs and similar/dp/dsu/trees/two pointers
514	D	R2D2 and Droid Army	PROGRAMMING	2000.0	2000	binary search/data structures/two pointers
505	C	Mr. Kitayuta, the Treasure Hunter	PROGRAMMING	1500.0	1900	dfs and similar/dp/two pointers
498	B	Name That Tune	PROGRAMMING	2000.0	2400	dp/probabilities/two pointers
493	C	Vasya and Basketball	PROGRAMMING	2000.0	1600	binary search/brute force/data structures/implementation/sortings/two pointers
487	B	Strip	PROGRAMMING	1500.0	2000	binary search/data structures/dp/two pointers
489	B	BerSU Ball	PROGRAMMING	1000.0	1200	dfs and similar/dp/graph matchings/greedy/sortings/two pointers
484	B	Maximum Value	PROGRAMMING	1000.0	2100	binary search/math/sortings/two pointers
466	C	Number of Ways	PROGRAMMING	1500.0	1700	binary search/brute force/data structures/dp/two pointers
446	A	DZY Loves Sequences	PROGRAMMING	500.0	1600	dp/implementation/two pointers
444	D	DZY Loves Strings	PROGRAMMING	2000.0	2500	binary search/hashing/strings/two pointers
439	D	Devu and his Brother	PROGRAMMING	2000.0	1700	binary search/sortings/ternary search/two pointers
432	D	Prefixes and Suffixes	PROGRAMMING	2000.0	2000	dp/string suffix structures/strings/two pointers
